Date,Close,,,,,
1983-12-01,,,,,,
1983-11-01,182.06,,,,,
1983-10-01,177.91,,,,,
1983-09-01,,,,,,
1983-08-01,177.31,,,,,
1983-07-01,176.8,,,,,
1983-06-01,,,,,,
1983-05-01,175.38,,,,,
1983-04-01,177.56,,,,,
1983-03-01,166.14,,,,,
1983-02-01,,,,,,
1983-01-01,158.03,,,,,
1982-12-01,155.16,,,,,
1982-11-01,,,,,,
1982-10-01,141.83,,,,,
1982-09-01,133.11,,,,,
1982-08-01,,,,,,
1982-07-01,124.34,,,,,
1982-06-01,126.39,,,,,
1982-05-01,,,,,,
1982-04-01,136.72,,,,,
1982-03-01,,,,,,
1982-02-01,130.75,,,,,
1982-01-01,144.02,,,,,
1981-12-01,146.62,,,,,
1981-11-01,,,,,,
1981-10-01,140.27,,,,,
1981-09-01,136.53,,,,,
1981-08-01,148.1,,,,,
1981-07-01,,,,,,
1981-06-01,154.58,,,,,
1981-05-01,155.3,,,,,
1981-04-01,158.84,,,,,
1981-03-01,159.2,,,,,
1981-02-01,154.17,,,,,
1981-01-01,,,,,,
1980-12-01,159.23,,,,,
1980-11-01,163.23,,,,,
1980-10-01,157.1,,,,,
1980-09-01,153.09,,,,,
1980-08-01,,,,,,
1980-07-01,146.63,,,,,
1980-06-01,142.68,,,,,
1980-05-01,136.57,,,,,
1980-04-01,130.58,,,,,
1980-03-01,122.96,,,,,
1980-02-01,,,,,,
1980-01-01,138.59,,,,,
1979-12-01,131.1,,,,,
1979-11-01,128.08,,,,,
1979-10-01,124.64,,,,,
1979-09-01,135.08,,,,,
1979-08-01,,,,,,
1979-07-01,127.75,,,,,
1979-06-01,127.17,,,,,
1979-05-01,123.96,,,,,
1979-04-01,126.52,,,,,
1979-03-01,127.07,,,,,
1979-02-01,,,,,,
1979-01-01,125.06,,,,,
1978-12-01,122.28,,,,,
1978-11-01,118.76,,,,,
1978-10-01,123.46,,,,,
1978-09-01,126.27,,,,,
1978-08-01,,,,,,
1978-07-01,122.68,,,,,
1978-06-01,114.74,,,,,
1978-05-01,113.93,,,,,
1978-04-01,112.83,,,,,
1978-03-01,,,,,,
1978-02-01,103.9,,,,,
1978-01-01,105.02,,,,,
1977-12-01,,,,,,
1977-11-01,106.71,,,,,
1977-10-01,105.68,,,,,
1977-09-01,,,,,,
1977-08-01,106.77,,,,,
1977-07-01,106.66,,,,,
1977-06-01,,,,,,
1977-05-01,104.73,,,,,
1977-04-01,106.46,,,,,
1977-03-01,,,,,,
1977-02-01,106.52,,,,,
1977-01-01,107.26,,,,,
1976-12-01,,,,,,
1976-11-01,103.72,,,,,
1976-10-01,104.39,,,,,
1976-09-01,,,,,,
1976-08-01,107.79,,,,,
1976-07-01,108.29,,,,,
1976-06-01,,,,,,
1976-05-01,106.53,,,,,
1976-04-01,108.58,,,,,
1976-03-01,109.62,,,,,
1976-02-01,,,,,,
1976-01-01,109.64,,,,,
1975-12-01,100.86,,,,,
1975-11-01,,,,,,
1975-10-01,98.55,,,,,
1975-09-01,92.43,,,,,
1975-08-01,,,,,,
1975-07-01,98.48,,,,,
1975-06-01,104.5,,,,,
1975-05-01,,,,,,
1975-04-01,101.3,,,,,
1975-03-01,97.51,,,,,
1975-02-01,,,,,,
1975-01-01,89.4,,,,,
1974-12-01,78.24,,,,,
1974-11-01,,,,,,
1974-10-01,81.33,,,,,
1974-09-01,74.45,,,,,
1974-08-01,,,,,,
1974-07-01,91.46,,,,,
1974-06-01,97.48,,,,,
1974-05-01,,,,,,
1974-04-01,105.38,,,,,
1974-03-01,107.42,,,,,
1974-02-01,,,,,,
1974-01-01,109.01,,,,,
1973-12-01,108.41,,,,,
1973-11-01,,,,,,
1973-10-01,126.14,,,,,
1973-09-01,125.11,,,,,
1973-08-01,121.82,,,,,
1973-07-01,,,,,,
1973-06-01,124.61,,,,,
1973-05-01,124.05,,,,,
1973-04-01,,,,,,
1973-03-01,131.48,,,,,
1973-02-01,131.51,,,,,
1973-01-01,,,,,,
1972-12-01,130.74,,,,,
1972-11-01,128.59,,,,,
1972-10-01,,,,,,
1972-09-01,121.59,,,,,
1972-08-01,123.68,,,,,
1972-07-01,,,,,,
1972-06-01,118.84,,,,,
1972-05-01,121.88,,,,,
1972-04-01,,,,,,
1972-03-01,118.3,,,,,
1972-02-01,116.89,,,,,
1972-01-01,,,,,,
1971-12-01,108.99,,,,,
1971-11-01,100.18,,,,,
1971-10-01,,,,,,
1971-09-01,103.68,,,,,
1971-08-01,104.88,,,,,
1971-07-01,102.84,,,,,
1971-06-01,,,,,,
1971-05-01,103.86,,,,,
1971-04-01,106.59,,,,,
1971-03-01,,,,,,
1971-02-01,99.26,,,,,
1971-01-01,98.42,,,,,
1970-12-01,94.29,,,,,
1970-11-01,90.04,,,,,
1970-10-01,88.26,,,,,
1970-09-01,89.79,,,,,
1970-08-01,87.18,,,,,
1970-07-01,84.59,,,,,
1970-06-01,79.84,,,,,
1970-05-01,82.06,,,,,
1970-04-01,87.8,,,,,
1970-03-01,97.07,,,,,
1970-02-01,96.98,,,,,
1970-01-01,94.25,,,,,
